,iBlock,iRun,trial_counter,trial,timing_bl,jitter_t_BL,timing_cue,play_tone,timing_ITI,timing_target,keypress,reaction_time,cue_ori,target_ori,mapping1,frequency,correct,subject,phase1,pupil_target_locked_t1,pupil_target_locked_t2,pupil_baseline_target_locked,outlier_rt
146,1,2,147,47,"(1788.4697323281835, 'Miss', 'Miss')",408.0,1791.8700557448499,1,1792.8702296874217,1796.2042116295745,right,0.33767496208747616,45,315,1,80,0,sub-19,1,6.901128686613928,16.59322302745519,-7.308174475016163,0
147,1,2,148,48,"(1799.2051814911792, 'Miss', 'Miss')",312.0,1801.8053466117817,0,1802.8055297092249,1806.5229390579584,left,0.7206848510177224,45,315,1,80,1,sub-19,1,-1.3199179733539852,-2.747102921887795,1.3367971976018138,0
148,1,2,149,49,"(1809.5238648097256, 'Miss', 'Miss')",372.0,1812.6241492210863,1,1813.624334260472,1818.2919083691631,left,1.6701358083664672,0,45,1,80,0,sub-19,1,0.1979869057199757,1.0378841010736342,-0.8772430612899016,0
149,1,2,150,50,"(1821.2929226180277, 'Miss', 'Miss')",348.0,1824.1931142600185,0,1825.193269060583,1828.6939884115964,left,0.5045630102104042,45,315,1,80,1,sub-19,1,-0.5340900692549989,9.543977345278137,-4.838598843661268,0
150,1,2,151,51,"(1831.6949260924412, 'Miss', 'Miss')",360.0,1834.695194357937,1,1835.6953752360168,1839.0293754879126,right,0.336741442552011,45,315,1,80,0,sub-19,1,-2.2341291959095257,-2.1882464869186014,5.658445508103941,0
151,1,2,152,52,"(1842.0302943041715, 'Miss', 'Miss')",300.0,1844.5304998726638,1,1845.530641634472,1848.9146641077425,right,0.3868915547136567,45,45,0,20,1,sub-19,1,-0.565696982518895,-7.338020485654275,1.0306818695591489,0
152,1,2,153,53,"(1851.9156700339954, 'Miss', 'Miss')",408.0,1855.3159482311414,0,1856.3161368769904,1859.9335492218634,left,0.6217007089217077,45,315,1,80,1,sub-19,1,1.8581866259771975,2.0925017224140983,-2.3592559573434246,0
153,1,2,154,54,"(1862.934435302519, 'Miss', 'Miss')",408.0,1866.3348422227136,0,1867.3349961910208,1870.919053175381,right,0.5871025051601464,0,45,1,80,1,sub-19,1,-2.4953968601868928,-4.5405196463794555,5.2264723118874885,0
154,1,2,155,55,"(1873.9200377402667, 'Miss', 'Miss')",396.0,1877.220322540019,0,1878.2205217278424,1881.971260914412,right,0.7548788532985782,45,315,1,80,0,sub-19,1,5.504431344879918,6.458735283138928,-11.320505553010795,0
155,1,2,156,56,"(1884.972216905, 'Miss', 'Miss')",396.0,1888.2725402661817,1,1889.2727089377624,1893.5735582879609,left,1.3049571135852602,45,315,1,80,1,sub-19,1,-2.8860195482744104,-11.535370086622226,4.4980534434078505,0
156,1,2,157,57,"(1896.574516775334, 'Miss', 'Miss')",396.0,1899.8748312590606,0,1900.8750373823968,1905.0758411801687,right,1.204885483643011,0,45,1,80,1,sub-19,1,2.851567159362132,5.4500740031877495,3.41260381201494,0
157,1,2,158,58,"(1908.076834622505, 'Miss', 'Miss')",300.0,1910.576967229441,1,1911.5771417268552,1917.328398579829,left,2.754011359807919,0,45,1,80,0,sub-19,1,1.8635446346682891,-3.320010432198357,4.536010131574632,0
158,1,2,159,59,"(1920.3292569184487, 'Miss', 'Miss')",312.0,1922.9294334132865,1,1923.929601530028,1928.0637775554715,left,1.1378854131835396,45,315,1,80,1,sub-19,1,-1.7890841718111188,-5.228338357090537,3.8443192471589716,0
159,1,2,160,60,"(1931.0647080233866, 'Miss', 'Miss')",360.0,1934.0649718501559,0,1935.0651338636526,1938.3491465717238,right,0.2866601306413941,0,45,1,80,1,sub-19,1,2.7821051703986,3.2634067527676653,-1.8192730190029307,0
